ID;NLTK;Natasha
10112;– Змея –внутринее?;– Гарри?
10113;Где моя палочка?;– Можно с тобой поговорить?
10114;– Гермиона, где моя палочка?;– Где?. .
10115;– Гарри… – Где моя палочка?;Как?. .
10116;Помнишь, когда мы спасались от змеи, я сотворила взрывное заклятие?;– Ты все еще злишься на меня, да? – спросила Гермиона.
10117;– Помнишь… как Рон сломал волшебную палочку?;Та тоже смотрела на подпись, будто не верила глазам, а потом медленно перевела взгляд на Гарри: – Гриндельвальд?
10118;Где взять новую палочку?;Но как именно он о них позаботился?
10119;Хуже того, он потерял фотографию вора – Вольдеморт без труда выяснит, кто это… Отныне у Вольдеморта все карты в руках… – Гарри?;Чем же занимался Альбус, если не своим непутевым младшим братом?
10120;– Можно с тобой поговорить?;Что стало причиной внезапного разрыва?
10121;– Где?.;Действительно ли Думбльдор изменил взгляды, объявил, что не желает участвовать в предприятиях Гриндельвальда?
10122;Как?.;Почему Аберфорс обвинял Альбуса в смерти сестры?
10123;– Ты все еще злишься на меня, да?;Только ли в безумии горя, как считает «Бэтти с приветом»?
10124;Та тоже смотрела на подпись, будто не верила глазам, а потом медленно перевела взгляд на Гарри: – Гриндельвальд?;Или для его гнева имелась причина поконкретнее?
10125;Но как именно он о них позаботился?;Гриндельвальд, отчисленный из «Дурмштранга» за нападения на соучеников, едва не закончившиеся роковым образом, сбежал из страны через несколько часов после смерти девочки, и Альбус (от стыда? в страхе?) не встречался с ним, пока не был официально к тому принужден мольбами колдовской общественности.
10126;Чем же занимался Альбус, если не своим непутевым младшим братом?;Была ли причиной тому немеркнущая привязанность или Думбльдор опасался, что бывший лучший друг его разоблачит?
10127;Что стало причиной внезапного разрыва?;Возможно, не очень-то Думбльдор и рвался ловить и обезвреживать знаменитого черного мага, которым некогда так восхищался?
10128;Действительно ли Думбльдор изменил взгляды, объявил, что не желает участвовать в предприятиях Гриндельвальда?;И как же умерла таинственная Ариана?
10129;Почему Аберфорс обвинял Альбуса в смерти сестры?;Стала случайной жертвой некоего обряда черной магии?
10130;Только ли в безумии горя, как считает «Бэтти с приветом»?;Или нежелательной свидетельницей – того, например, как двое молодых людей готовятся к захвату власти и завоеванию славы?
10131;Или для его гнева имелась причина поконкретнее?;Возможно ли, что Ариана Думбльдор первой погибла во имя «высшего блага»?
10132;Гриндельвальд, отчисленный из «Дурмштранга» за нападения на соучеников, едва не закончившиеся роковым образом, сбежал из страны через несколько часов после смерти девочки, и Альбус (от стыда?;Все обратилось в прах: сколько ему еще терять?
10133;в страхе?);– А письмо к Гриндельвальду?
10134;Была ли причиной тому немеркнущая привязанность или Думбльдор опасался, что бывший лучший друг его разоблачит?;– Что за Нурменгард?
10135;Возможно, не очень-то Думбльдор и рвался ловить и обезвреживать знаменитого черного мага, которым некогда так восхищался?;– Один?
10136;И как же умерла таинственная Ариана?;– Не знаю, что с ней было, но – шваха?
10137;Стала случайной жертвой некоего обряда черной магии?;Но давай все-таки дезаппарируем под плащом-невидимкой?
10138;Или нежелательной свидетельницей – того, например, как двое молодых людей готовятся к захвату власти и завоеванию славы?;"– Где мы? – спросил Гарри, озираясь; их снова окружали деревья."
10139;Возможно ли, что Ариана Думбльдор первой погибла во имя «высшего блага»?;До сих пор защита прекрасно действовала, с чего бы ей сейчас отказать?
10140;Все обратилось в прах: сколько ему еще терять?;На него сейчас нападут?
10141;– А письмо к Гриндельвальду?;Это была ловушка?
10142;– Что за Нурменгард?;Кто-то следит за ним из темноты?
10143;Но, Гарри, у него только что умерла мать, он остался один… – Один?;Зачем же она привела его сюда?
10144;– Не знаю, что с ней было, но – шваха?;Как такое возможно?
10145;– При таком снеге, да еще в темноте чего только не вообразишь… Но давай все-таки дезаппарируем под плащом-невидимкой?;Как меч оказался рядом с их лагерем?
10146;– Где мы?;Какая неведомая магия направила сюда Гермиону?
10147;До сих пор защита прекрасно действовала, с чего бы ей сейчас отказать?;Или лань, которую он принял за Заступника, была стражем озера?
10148;На него сейчас нападут?;А может, меч поместили в озерцо специально, когда он и Гермиона уже оказались здесь, ровно потому, что они здесь?
10149;Это была ловушка?;И если так, где тот, кто хотел передать меч?
10150;Кто-то следит за ним из темноты?;А кто такой гриффиндорец?Им за доблесть и отвагу люди славу воздают,ответил тихий голосок в голове.
10151;Зачем же она привела его сюда?;Ну и в чем здесь, спрашивается, доблесть?
10152;Как такое возможно?;В том разве, что он не позвал Гермиону и не попросил сделать все за него?
10153;Как меч оказался рядом с их лагерем?;Водоросли?
10154;Какая неведомая магия направила сюда Гермиону?;Затем чей-то голос над его головой, прерываясь, спросил: – Ты что,сбрендил?
10155;Или лань, которую он принял за Заступника, была стражем озера?;– Какого рожна, – задыхаясь, выговорил Рон, держа на весу окаянт, который качался взад-вперед, будто на сеансе гипноза, – ты не снял эту пакость перед тем, как нырнуть?
10156;А может, меч поместили в озерцо специально, когда он и Гермиона уже оказались здесь, ровно потому, что они здесь?;"– Т-так это т-ты? – стуча зубами, произнес Гарри; голос его после удушения ослабел."
10157;И если так, где тот, кто хотел передать меч?;– Т-ты вызвал лань?
10158;А кто такой гриффиндорец?Им за доблесть и отвагу люди славу воздают,ответил тихий голосок в голове.;– Что?
10159;Ну и в чем здесь, спрашивается, доблесть?;Гарри надел на шею Огридов кисет, натянул последний свитер, поднял с земли палочку Гермионы и вновь обратился к Рону: – Откуда ты взялся?
10160;В том разве, что он не позвал Гермиону и не попросил сделать все за него?;– Ты ведь за ним нырял?
10161;Водоросли?;– Но я не понимаю, как ты попал сюда?
10162;Затем чей-то голос над его головой, прерываясь, спросил: – Ты что,сбрендил?;Как нашел нас?
10163;– Какого рожна, – задыхаясь, выговорил Рон, держа на весу окаянт, который качался взад-вперед, будто на сеансе гипноза, – ты не снял эту пакость перед тем, как нырнуть?;– А кого-нибудь еще видел?
10164;– Т-так это т-ты?;– Есть что-нибудь? – спросил Рон.
10165;– Т-ты вызвал лань?;– А как меч попал в озеро?
10166;– Что?;– Думаешь, настоящий? – спросил Рон.
10167;Гарри надел на шею Огридов кисет, натянул последний свитер, поднял с земли палочку Гермионы и вновь обратился к Рону: – Откуда ты взялся?;– Я? – изумился Рон.
10168;– Ты ведь за ним нырял?;– Почему?
10169;– Но я не понимаю, как ты попал сюда?;Только сразу, хорошо?
10170;Как нашел нас?;– А как ты его откроешь? – испуганно спросил Рон.
10171;– А кого-нибудь еще видел?;– Почему?
10172;– Есть что-нибудь?;– Но почему?
10173;– А как меч попал в озеро?;– Зачем ты вернулся?
10174;– Думаешь, настоящий?;Хихикая, она закачалась перед Роном, который потрясенно застыл, беспомощно опустив меч: –Да кто на тебя посмотрит, кто обратит внимание, когда рядом сам Гарри Поттер?
10175;– Я?;Что ты вообще такое по сравнению с Избранным?
10176;– Почему?;Кто ты рядом с мальчиком, который остался жив?
10177;Только сразу, хорошо?;– И кто же не предпочтет его?
10178;– А как ты его откроешь?;Какой женщине нужен ты?
10179;– Почему?;– Рон?. .
10180;Лучше ты… – Но почему?;Она вздрогнула и вскочила, отбросив с лица волосы: – Что?
10181;– Зачем ты вернулся?;Что случилось?
10182;Хихикая, она закачалась перед Роном, который потрясенно застыл, беспомощно опустив меч: –Да кто на тебя посмотрит, кто обратит внимание, когда рядом сам Гарри Поттер?;Гарри?
10183;Что ты вообще такое по сравнению с Избранным?;Все нормально?
10184;Кто ты рядом с мальчиком, который остался жив?;– То есть?
10185;– Твоя мать призналась, – засмеялся Реддль-Гарри, а Реддль-Гермиона ухмыльнулась, –что в сыновья предпочла бы меня, с радостью поменяла бы… – И кто же не предпочтет его?;Кто?. .
10186;Какой женщине нужен ты?;Ты чего?. .
10187;– Рон?.;Прошло!О-о, где моя палочка?!
10188;Она вздрогнула и вскочила, отбросив с лица волосы: – Что?;– Столько недель прошло!Недель!И ты полагаешь, что достаточно сказать «прости» – и все наладится?
10189;Что случилось?;– А что еще мне сказать? – завопил Рон.
10190;Гарри?;– Каково былотебе?!
10191;Все нормально?;– К кому? – переспросил Гарри, а Гермиона упала в кресло и как-то так переплела руки и ноги, что казалось, их не расплести уже никогда.
10192;– То есть?;– А что ты сказал?
10193;Кто?.;– И они поверили?
10194;Ты чего?.;И все это, пока мы таскались в Годрикову Лощину, и дайте-ка вспомнить, что же мы там делали, Гарри?
10195;Прошло!О-о, где моя палочка?!;– Что?! – потрясенно вскричал Рон.
10196;– Столько недель прошло!Недель!И ты полагаешь, что достаточно сказать «прости» – и все наладится?;– Одно я хотела бы знать, – ее глаза будто сверлили дыру в воздухе над головой Рона, – как ты нас нашел?
10197;– А что еще мне сказать?;– Мракёр? – изумилась она, на секунду забыв свой гнев.
10198;Вы не понимаете, каково мне было… – Каково былотебе?!;– Меня по радио? – недоверчиво переспросила она.
10199;– К кому?;– И что же я говорила? – поинтересовалась Гермиона.
10200;– А что ты сказал?;– Такой пульсирующий световой шар, голубоватый, вот как вокруг портшлюсов, понимаете?
10201;– И они поверили?;– Что-что? – переспросил Гарри, решив, что плохо расслышал.
10202;И все это, пока мы таскались в Годрикову Лощину, и дайте-ка вспомнить, что же мы там делали, Гарри?;– Кто? – вскинулась Гермиона.
10203;– Что?!;– Вы видели, кто его вызвал?
10204;– Одно я хотела бы знать, – ее глаза будто сверлили дыру в воздухе над головой Рона, – как ты нас нашел?;Кого-нибудь вообще видели?
10205;– Мракёр?;А дальше?
10206;– Меня по радио?;– И… окаянт умер?
10207;– И что же я говорила?;Так просто? – прошептала Гермиона.
10208;– Такой пульсирующий световой шар, голубоватый, вот как вокруг портшлюсов, понимаете?;Гарри, решив, что теперь можно, взмахом ее палочки снял заградительное заклятие и повернулся к Рону: – Ты говорил, что прихватил у Отловщиков лишнюю палочку?
10209;– Что-что?;– Что? – не понял тот.
10210;– Кто?;– Шутишь? – изумился Рон.
10211;– Вы видели, кто его вызвал?;Помнишь, как она птиц на меня наслала?
10212;Кого-нибудь вообще видели?;– Да, а как вы узнали про Табу? – спросил он после очередной истории о том, как трудно муглорожденным прятаться от министерства.
10213;А дальше?;– О чем?
10214;– И… окаянт умер?;– Потому что мы назвали егопо имени?
10215;Так просто?;– Серьезно?!
10216;Гарри, решив, что теперь можно, взмахом ее палочки снял заградительное заклятие и повернулся к Рону: – Ты говорил, что прихватил у Отловщиков лишнюю палочку?;– Может, это он послал лань?
10217;– Что?;– Его Заступник – рысь, мы видели на свадьбе, помнишь?
10218;– Шутишь?;– Гарри… как думаешь, может, это Думбльдор?
10219;Помнишь, как она птиц на меня наслала?;– Что Думбльдор?. .
10220;– Да, а как вы узнали про Табу?;Рон слегка смутился, но тихо продолжил: – Послал лань?
10221;– О чем?;В смысле, – Рон искоса посмотрел на Гарри, – это же он последним держал настоящий меч?
10222;– Потому что мы назвали егопо имени?;– Но Заступник ведь может меняться? – спросил Рон.
10223;Чуть не схватили Кингсли… – Серьезно?!;– Заступник Бомс изменился, так?
10224;– Может, это он послал лань?;– Да, но если Думбльдор жив, почему бы ему самому не появиться?
10225;– Его Заступник – рысь, мы видели на свадьбе, помнишь?;Почему просто не передать нам меч?
10226;– Гарри… как думаешь, может, это Думбльдор?;– И почему же?
10227;– Что Думбльдор?.;Гарри, отчасти чтобы сменить тему, спросил: – А ты в курсе, что о нем написала Вритер?
10228;Рон слегка смутился, но тихо продолжил: – Послал лань?;– Что? – спросил он, не ожидая ничего хорошего.
10229;В смысле, – Рон искоса посмотрел на Гарри, – это же он последним держал настоящий меч?;Гарри уставился на нее: – Что?
10230;– Но Заступник ведь может меняться?;– А… зачем?
10231;– Заступник Бомс изменился, так?;– И… что это зна?. . – осторожно начал Рон, но Гермиона истребила его взглядом и снова обратилась к Гарри: – Опять он.
10232;– Да, но если Думбльдор жив, почему бы ему самому не появиться?;Это ли не подсказка?. .
10233;Почему просто не передать нам меч?;– Если уж настолько, Думбльдор бы мне сказал, тебе не кажется?
10234;– И почему же?;– Кто за то, чтобы навестить Лавгудов?. .
10235;Гарри, отчасти чтобы сменить тему, спросил: – А ты в курсе, что о нем написала Вритер?;– Только сразу после Лавгуда начнем искать другие окаянты, хорошо?
10236;– Что?;А где они вообще живут?
10237;Гарри уставился на нее: – Что?;Кто-нибудь знает?
10238;– А… зачем?;– По-твоему, я мог явиться и сказать им, что бросил вас?
10239;Сначала Гарри не понял, о чем речь, но, приглядевшись в свете волшебной палочки, увидел, что «А» в своем имени Думбльдор заменил таким же треугольным значком, какой кто-то нарисовал в «Сказках барда Бидля»… – И… что это зна?.;– Где же ты был? – удивилась Гермиона.
10240;Это ли не подсказка?.;– Думаете, это их?
10241;– Если уж настолько, Думбльдор бы мне сказал, тебе не кажется?;Они что, уехали на Рождество?
10242;– Кто за то, чтобы навестить Лавгудов?.;Кто еще согласится тут жить?
10243;– Только сразу после Лавгуда начнем искать другие окаянты, хорошо?;– Что такое?
10244;А где они вообще живут?;В чем дело?
10245;Кто-нибудь знает?;Вы кто?
10246;– По-твоему, я мог явиться и сказать им, что бросил вас?;Что вам надо? – сварливо взвизгнул он, переводя взгляд с Гермионы на Рона, а затем и на Гарри.
10247;– Где же ты был?;– Можно войти?
10248;– Думаете, это их?;Интересно, чем это там занимается Луна?
10249;Они что, уехали на Рождество?;Затем Ксенофил повернулся к Гарри: – Что привело вас сюда?
10250;Кто еще согласится тут жить?;Не успел Гарри ответить, Гермиона потрясенно вскрикнула: – Мистер Лавгуд, что это?
10251;– Что такое?;– С чего ты взяла, что это сносорог? – спросил Рон, отпрыгнув подальше, насколько позволяли завалы в комнате.
10252;В чем дело?;А теперь, – он повернулся к Гарри, – объясните, зачем вы пришли, мистер Поттер?
10253;Вы кто?;– Разве не вы писали, что это наипервейший долг всех честных людей? – осведомился Рон.
10254;Что вам надо?;– В вашем собственном журнале?
10255;– Можно войти?;– Но это касается остальных, а не вас лично? – перебил Рон.
10256;Интересно, чем это там занимается Луна?;– А где Луна? – спросила Гермиона.
10257;Затем Ксенофил повернулся к Гарри: – Что привело вас сюда?;Ну-с, – онубрал высоченную кипу бумаг из кресла и сел, скрестив ноги в резиновых сапогах, – чем могу помочь, мистер Поттер?
10258;Не успел Гарри ответить, Гермиона потрясенно вскрикнула: – Мистер Лавгуд, что это?;Ксенофил поднял брови: – Вы имеете в виду знак Даров Смерти?
10259;– С чего ты взяла, что это сносорог?;– Даров Смерти?
10260;А теперь, – он повернулся к Гарри, – объясните, зачем вы пришли, мистер Поттер?;– Неужели не слышали?
10261;Но… в наше время помогать Гарри Поттеру… мягко говоря, рискованно… – Разве не вы писали, что это наипервейший долг всех честных людей?;– Но что это такое? – спросила Гермиона.
10262;– В вашем собственном журнале?;– Полагаю, вам знакома «Сказка о трех братьях»?
10263;– Ммм… Да, я выражал такую точку зрения, но… – Но это касается остальных, а не вас лично?;– Оригинал? – осведомился Ксенофил и, когда Гермиона кивнула, предложил: – В таком случае, может, прочтете вслух?
10264;– А где Луна?;– Смерть? – перебил Гарри.
10265;Сыпьте сахар… Ну-с, – онубрал высоченную кипу бумаг из кресла и сел, скрестив ноги в резиновых сапогах, – чем могу помочь, мистер Поттер?;– Заговорила?
10266;Ксенофил поднял брови: – Вы имеете в виду знак Даров Смерти?;– У Смерти был плащ-невидимка? – снова перебил Гарри.
10267;– Даров Смерти?;– То есть? – опешила Гермиона.
10268;– Неужели не слышали?;– Но, стало быть, – Гермиона говорила медленно и, почувствовал Гарри, скрывая скепсис, – вы верите, что эти предметы – Дары – в самом деле существуют?
10269;– Но что это такое?;– Но, мистер Лавгуд, – судя по голосу, терпению Гермионы пришел конец, – как выможетев это верить?
10270;– Полагаю, вам знакома «Сказка о трех братьях»?;– Может, шляпку примеришь, Гермиона?
10271;– Оригинал?;Сколькотакихплащей вам доводилось видеть, мисс Грейнджер?
10272;– осведомился Ксенофил и, когда Гермиона кивнула, предложил: – В таком случае, может, прочтете вслух?;Обладатель подобного сокровища был бы несметно богат, не правда ли?
10273;И заговорила с ними Смерть…» – Смерть?;Но камень?
10274;– Заговорила?;Мистер Лавгуд?
10275;– У Смерти был плащ-невидимка?;– И что же?
10276;– То есть?;– Как такое может быть?
10277;– Но, стало быть, – Гермиона говорила медленно и, почувствовал Гарри, скрывая скепсис, – вы верите, что эти предметы – Дары – в самом деле существуют?;Как я докажу, что его не существует?
10278;– Но, мистер Лавгуд, – судя по голосу, терпению Гермионы пришел конец, – как выможетев это верить?;Мне что, собрать… все камни в мире и проверить?
10279;– Может, шляпку примеришь, Гермиона?;Ну то есть как можноутверждать,что нечто существует, основываясь лишь на том, что никто не в силах доказать обратного?
10280;Сколькотакихплащей вам доводилось видеть, мисс Грейнджер?;– И бузинная палочка, – поспешил вмешаться Гарри, прежде чем Гермиона еще что-нибудь возразит, – по-вашему, тоже существует?
10281;Обладатель подобного сокровища был бы несметно богат, не правда ли?;– И как же? – не понял Гарри.
10282;– Допустим, плащ существует… Но камень?;– Вы, несомненно, наслышаны, что после убийства Эмерика Злющего палочка перешла к Эгберту Вопиющему?
10283;Мистер Лавгуд?;И что Годелот умер в собственном погребе, а сын его Хэревуд забрал его палочку?
10284;Предмет, который вы назвали камнем воскрешения… – И что же?;И что ужасный Локсиас отнял палочку у Барнабаса Деверилла, которого сам и убил?
10285;– Как такое может быть?;– А где, по-вашему, бузинная палочка сейчас? – спросил Рон.
10286;Как я докажу, что его не существует?;– Кто знает? – ответил Ксенофил, не отрывая глаз от окна.
10287;Мне что, собрать… все камни в мире и проверить?;– Кто знает, где она спрятана?
10288;Ну то есть как можноутверждать,что нечто существует, основываясь лишь на том, что никто не в силах доказать обратного?;Но кто из них победил Локсиаса, кто забрал палочку?
10289;– И бузинная палочка, – поспешил вмешаться Гарри, прежде чем Гермиона еще что-нибудь возразит, – по-вашему, тоже существует?;Кто победил их самих?
10290;– И как же?;Наконец Гермиона сухо спросила: – Мистер Лавгуд, а семья Певереллов имеет отношение к Дарам Смерти?
10291;– Вы, несомненно, наслышаны, что после убийства Эмерика Злющего палочка перешла к Эгберту Вопиющему?;– Кто это – Певереллы? – спросил Рон.
10292;И что Годелот умер в собственном погребе, а сын его Хэревуд забрал его палочку?;– Доказательство чего? – не понял Рон.
10293;И что ужасный Локсиас отнял палочку у Барнабаса Деверилла, которого сам и убил?;– Вы останетесь на ужин? – крикнул он спускаясь.
10294;– А где, по-вашему, бузинная палочка сейчас?;Гарри выждал, пока Ксенофил загрохочет кастрюлями на кухне, и спросил Гермиону: – Что думаешь?
10295;– Кто знает?;– То есть ты тоже не веришь в Дары? – спросил Гарри.
10296;– Кто знает, где она спрятана?;– В смысле?
10297;Но кто из них победил Локсиаса, кто забрал палочку?;Наверняка же слышал?
10298;Кто победил их самих?;– Полагаетсявыбирать плащ, – пояснил Рон, – но зачем становиться невидимым, если есть палочка?Непобедимаяпалочка, Гермиона, подумай!
10299;Наконец Гермиона сухо спросила: – Мистер Лавгуд, а семья Певереллов имеет отношение к Дарам Смерти?;– А удастся? – скептически ответила Гермиона.
10300;– Кто это – Певереллы?;– Правда? – переспросил Гарри.
10301;– Доказательство чего?;– Но вдруг, – возразил Гарри, – все эти палочки, Смертный жезл и палочка Судьбы, – просто одна и та же палочка под разными именами?
10302;– Вы останетесь на ужин?;– Что, бузинная палочка, изготовленная Смертью? – спросил Рон.
10303;Гарри выждал, пока Ксенофил загрохочет кастрюлями на кухне, и спросил Гермиону: – Что думаешь?;И если в ту страшную ночь погони неуязвимым Гарри сделала палочка, что же она потом сломалась?
10304;– То есть ты тоже не веришь в Дары?;– А почему ты выбрал камень? – сменил тему Рон.
10305;– В смысле?;– Я так полагаю, других историй о камне воскрешения нет? – спросил он Гермиону.
10306;Наверняка же слышал?;– Вы понимаете, что здесь Ксенофил не соврал?
10307;– Полагаетсявыбирать плащ, – пояснил Рон, – но зачем становиться невидимым, если есть палочка?Непобедимаяпалочка, Гермиона, подумай!;– Хорошо, Рон, нокамень?. .
10308;– «Ах, у меня непобедимая палочка, если такой умный – попробуй отними!» Но если держать пасть на замке… – А удастся?;– Гарри, ты что?!
10309;– Правда?;– Что-то не так? – спросила Гермиона, едва Гарри спустился.
10310;– Но вдруг, – возразил Гарри, – все эти палочки, Смертный жезл и палочка Судьбы, – просто одна и та же палочка под разными именами?;– Мистер Лавгуд, – сказал Гарри, – где Луна?
10311;– Что, бузинная палочка, изготовленная Смертью?;– Что?
10312;И если в ту страшную ночь погони неуязвимым Гарри сделала палочка, что же она потом сломалась?;– Где Луна?
10313;– А почему ты выбрал камень?;– Почему тогда на подносе только четыре тарелки?
10314;– Я так полагаю, других историй о камне воскрешения нет?;Где она?
10315;– Вы понимаете, что здесь Ксенофил не соврал?;И почему вы все время смотрите за окно?
10316;– Хорошо, Рон, нокамень?.;"– «Правдобор» сменил ракурс? – бесстрастно поинтересовался Гарри; мысль его работала очень быстро."
10317;– Гарри, ты что?!;– Что же вы делали, когда выходили в сад, мистер Лавгуд?
10318;– Что-то не так?;Посылали сову в министерство?
10319;– Мистер Лавгуд, – сказал Гарри, – где Луна?;Помнишь – на прошлой неделе?
10320;– Что?;Или забыл?
10321;– Где Луна?;Когда ты, Мерлинова борода, пробовал выменять свою дочечку на идиотскую шляпу?
10322;– Почему тогда на подносе только четыре тарелки?;А до того, – (снова хлопок и вопль), – на доказательство существования складко… – (хлоп!), – рогих… – (хлоп!), – стеклопов?!
10323;Где она?;Может, расчистить?
10324;И почему вы все время смотрите за окно?;Или все грохнется?
10325;– «Правдобор» сменил ракурс?;– Ты ведь Поттера в жизни не видел, а?
10326;– Что же вы делали, когда выходили в сад, мистер Лавгуд?;Заманил нас сюда, чтобы прикончить, да?
10327;Посылали сову в министерство?;Думал так вернуть свою девчонку?
10328;Помнишь – на прошлой неделе?;– Ты мне доверяешь, Гарри?
10329;Или забыл?;– Я?Но как же Гарри…
10330;Когда ты, Мерлинова борода, пробовал выменять свою дочечку на идиотскую шляпу?;А теперь что?
10331;), – стеклопов?!;– Как думаете, что с ним сделают?
10332;Может, расчистить?;– А меня зачем спрятала? – спросил Рон.
10333;Или все грохнется?;– А как жетвоимама с папой?
10334;– Ты ведь Поттера в жизни не видел, а?;– Что бы мы без тебя делали?
10335;Заманил нас сюда, чтобы прикончить, да?;Гермиона просияла, но тут же посерьезнела: – Но как быть с Луной?
10336;Думал так вернуть свою девчонку?;– И что нас туда понесло? – после недолгого молчания простонала Гермиона.
10337;– Ты мне доверяешь, Гарри?;Хотя, – видимо, ее вдруг озарило, – он, наверное, все выдумал?
10338;– Я?Но как же Гарри… – Пожалуйста,Рон!;– Хорошо, даже если поверить в бузинную палочку – а камень воскрешения?
10339;А теперь что?;– Но они же не восстали из мертвых на самом деле? – перебила Гермиона.
10340;– Как думаете, что с ним сделают?;– А этот Певерелл на кладбище в Годриковой Лощине ничем не знаменит? – спросил он, стремясь показать, что абсолютно нормален.
10341;– А меня зачем спрятала?;– «Прервавшихся по мужской линии»? – повторил Рон.
10342;Представь, что сделали бы с твоими, если б узнали, что ты с ним… – А как жетвоимама с папой?;– Чего? – дружно сказали Рон и Гермиона.
10343;– Что бы мы без тебя делали?;– Герб Певереллов? – резко переспросила Гермиона.
10344;Гермиона просияла, но тут же посерьезнела: – Но как быть с Луной?;– Ты видел его?
10345;– И что нас туда понесло?;Ты думаешь, это был знак?
10346;Дары Смерти… бред собачий… Хотя, – видимо, ее вдруг озарило, – он, наверное, все выдумал?;Символ Даров Смерти?
10347;– Ты говорила, их много… Этот Смертный жезл или как его там… – Хорошо, даже если поверить в бузинную палочку – а камень воскрешения?;– Да почему нет?!Почему нет?! – отбросив осторожность, закричал Гарри.
10348;– Когда моя палочка соединилась с Сами-Знаете-Чьей, она вызвала моих маму с папой… и Седрика… – Но они же не восстали из мертвых на самом деле?;– Это же был камень, верно?
10349;– А этот Певерелл на кладбище в Годриковой Лощине ничем не знаменит?;– Что, если… воскрешения?
10350;– «Прервавшихся по мужской линии»?;– Мерлинова борода… и он бы еще действовал, если бы Думбльдор не сломал?. .
10351;– Чего?;– Действовал?Действовал?Рон, он никогда не действовал!Камней воскрешения не бывает!– Гермиона в ярости вскочила.
10352;– Герб Певереллов?;– Подогнать? – повторил он.
10353;– Ты видел его?;– Как думаешь, где сейчас кольцо? – спросил Рон Гарри.
10354;– Ничего себе… Ты думаешь, это был знак?;– Куда его дел Думбльдор, когда расколол?
10355;Символ Даров Смерти?;И Гарри увидел, как он, обладатель Даров, выходит на битву против Вольдеморта с его жалкими окаянтами…Выжить суждено лишь одному…Это ли не ответ?
10356;– Да… интересная теория, – деликатно произнесла Гермиона, – но, Гарри, если ты думаешь о том, о чем ты, по-моему, думаешь… – Да почему нет?;Дары против окаянтов?
10357;!Почему нет?!;Это ли не его шанс победить?
10358;– Это же был камень, верно?;Обладая Дарами, он станет неуязвим?
10359;– Что, если… воскрешения?;А иначе зачем ему плащ?
10360;– Мерлинова борода… и он бы еще действовал, если бы Думбльдор не сломал?.;– Ты… ты думаешь?
10361;– Действовал?Действовал?Рон, он никогда не действовал!Камней воскрешения не бывает!– Гермиона в ярости вскочила.;Возможно ли, чтобы Вольдеморт о них знал?
