;Natasha_no_hyphen1;Tokens;Lemmas;wh_words;wh_dicts
7688;Значит, речь идет о чем-то очень опасном, так?;11;[{'VERB': 'значить'}, {'PUNCT': ','}, {'NOUN': 'речь'}, {'VERB': 'идти'}, {'ADP': 'о'}, {'PRON': 'что-то'}, {'ADV': 'очень'}, {'ADJ': 'опасный'}, {'PUNCT': ','}, {'ADV': 'так'}, {'PUNCT': '?'}];0;0
7689;Пойдем поищем купе?;4;[{'VERB': 'пойти'}, {'VERB': 'поискать'}, {'NOUN': 'купе'}, {'PUNCT': '?'}];0;0
7690;Луна, привет, как ты?;7;[{'PROPN': 'луна'}, {'PUNCT': ','}, {'NOUN': 'привет'}, {'PUNCT': ','}, {'SCONJ': 'как'}, {'PRON': 'ты'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
7691;У «Правдобора» дела идут хорошо?;8;[{'ADP': 'у'}, {'PUNCT': '«'}, {'PROPN': 'правдобор'}, {'PUNCT': '»'}, {'NOUN': 'дело'}, {'VERB': 'идти'}, {'ADV': 'хорошо'}, {'PUNCT': '?'}];0;0
7692;Гарри, а Д. А. в этом году будет?;12;[{'PROPN': 'гарри'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PROPN': 'д'}, {'PUNCT': '.'}, {'PROPN': 'а'}, {'PUNCT': '.'}, {'ADP': 'в'}, {'DET': 'этот'}, {'NOUN': 'год'}, {'VERB': 'быть'}, {'PUNCT': '?'}];0;0
7693;Не хочешь перейти в наше купе?;7;[{'PART': 'не'}, {'VERB': 'хотеть'}, {'VERB': 'перейти'}, {'ADP': 'в'}, {'DET': 'наш'}, {'NOUN': 'купе'}, {'PUNCT': '?'}];0;0
7694;В противном случае шрам в виде молнии и груз пророчества достались бы Невиллу… или нет?;17;[{'ADP': 'в'}, {'ADJ': 'противный'}, {'NOUN': 'случай'}, {'NOUN': 'шрам'}, {'ADP': 'в'}, {'NOUN': 'вид'}, {'NOUN': 'молния'}, {'CCONJ': 'и'}, {'NOUN': 'груз'}, {'NOUN': 'пророчество'}, {'VERB': 'достаться'}, {'AUX': 'бы'}, {'PROPN': 'невилл'}, {'PUNCT': '…'}, {'CCONJ': 'или'}, {'PART': 'нет'}, {'PUNCT': '?'}];0;0
7695;Смогла бы мать Невилла поступить, как Лили, и отдать свою жизнь за сына?;16;[{'VERB': 'смочь'}, {'AUX': 'бы'}, {'NOUN': 'мать'}, {'PROPN': 'невилл'}, {'VERB': 'поступить'}, {'PUNCT': ','}, {'SCONJ': 'как'}, {'PROPN': 'лили'}, {'PUNCT': ','}, {'CCONJ': 'и'}, {'VERB': 'отдать'}, {'DET': 'свой'}, {'NOUN': 'жизнь'}, {'ADP': 'за'}, {'NOUN': 'сын'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
7696;Наверняка смогла бы… но что, если бы ей не удалось встать между Невиллом и Вольдемортом?;18;[{'ADV': 'наверняка'}, {'VERB': 'смочь'}, {'AUX': 'бы'}, {'PUNCT': '…'}, {'CCONJ': 'но'}, {'SCONJ': 'что'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'AUX': 'бы'}, {'PRON': 'она'}, {'PART': 'не'}, {'VERB': 'удаться'}, {'VERB': 'встать'}, {'ADP': 'между'}, {'PROPN': 'невилл'}, {'CCONJ': 'и'}, {'PROPN': 'вольдеморт'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
7697;Вообще не было бы никакого Избранного?;7;[{'ADV': 'вообще'}, {'PART': 'не'}, {'VERB': 'быть'}, {'AUX': 'бы'}, {'DET': 'никакой'}, {'PROPN': 'избранный'}, {'PUNCT': '?'}];0;0
7698;Пустое место вместо Невилла, Гарри без шрама, на прощание его целовала бы собственная мать, а не миссис Уизли?;22;[{'ADJ': 'пустой'}, {'NOUN': 'место'}, {'ADP': 'вместо'}, {'PROPN': 'невилл'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'ADP': 'без'}, {'NOUN': 'шрам'}, {'PUNCT': ','}, {'ADP': 'на'}, {'NOUN': 'прощание'}, {'PRON': 'он'}, {'NOUN': 'целовать'}, {'AUX': 'бы'}, {'ADJ': 'собственный'}, {'NOUN': 'мать'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PART': 'не'}, {'NOUN': 'миссис'}, {'PROPN': 'уизли'}, {'PUNCT': '?'}];0;0
7699;Все нормально, Гарри?;5;[{'PRON': 'весь'}, {'ADJ': 'нормальный'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'PUNCT': '?'}];0;0
7700;Мутотырк напал?;3;[{'PROPN': 'мутотырк'}, {'VERB': 'напасть'}, {'PUNCT': '?'}];0;0
7702;Когда же начнут развозить еду?;6;[{'ADV': 'когда'}, {'PART': 'же'}, {'VERB': 'начать'}, {'VERB': 'развозить'}, {'NOUN': 'еда'}, {'PUNCT': '?'}];когда;[{'ADV': 'когда'}]
7703;Знаешь что?;3;[{'VERB': 'знать'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7704;Весь прошлый год Малфой с упоением злоупотреблял положением старосты, а теперь вдруг отказывается от такой возможности?;18;[{'DET': 'весь'}, {'ADJ': 'прошлый'}, {'NOUN': 'год'}, {'PROPN': 'малфа'}, {'ADP': 'с'}, {'NOUN': 'упоение'}, {'VERB': 'злоупотреблять'}, {'NOUN': 'положение'}, {'NOUN': 'староста'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'ADV': 'теперь'}, {'ADV': 'вдруг'}, {'VERB': 'отказываться'}, {'ADP': 'от'}, {'DET': 'такой'}, {'NOUN': 'возможность'}, {'PUNCT': '?'}];0;0
7705;А что он делал, когда вы его видели?;10;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PRON': 'он'}, {'VERB': 'делать'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'вы'}, {'PRON': 'он'}, {'VERB': 'видеть'}, {'PUNCT': '?'}];"что; когда";[{'PRON': 'что'}, {'SCONJ': 'когда'}]
7706;То есть…это, – он еще раз показал то же самое, – как раз похоже, но почему он не вышел попугать первоклассников?;27;[{'PRON': 'тот'}, {'VERB': 'быть'}, {'PUNCT': '…'}, {'PRON': 'это'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PRON': 'он'}, {'ADV': 'еще'}, {'NOUN': 'раз'}, {'VERB': 'показать'}, {'DET': 'тот'}, {'PART': 'же'}, {'ADJ': 'самый'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'SCONJ': 'как'}, {'NOUN': 'раз'}, {'ADJ': 'похожий'}, {'PUNCT': ','}, {'CCONJ': 'но'}, {'ADV': 'почему'}, {'PRON': 'он'}, {'PART': 'не'}, {'VERB': 'выйти'}, {'VERB': 'попугать'}, {'NOUN': 'первоклассник'}, {'PUNCT': '?'}];"как; почему";[{'SCONJ': 'как'}, {'ADV': 'почему'}]
7707;Чем не доказательство, что у Малфоя есть дела посерьезнее?;11;[{'PRON': 'что'}, {'PART': 'не'}, {'NOUN': 'доказательство'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'ADP': 'у'}, {'PROPN': 'малфой'}, {'VERB': 'быть'}, {'NOUN': 'дело'}, {'ADJ': 'посерьезнее'}, {'PUNCT': '?'}];"что; что";[{'PRON': 'что'}, {'SCONJ': 'что'}]
7708;Может, ему больше нравилась инспекционная бригада?;8;[{'VERB': 'мочь'}, {'PUNCT': ','}, {'PRON': 'он'}, {'ADV': 'большой'}, {'VERB': 'нравиться'}, {'ADJ': 'инспекционный'}, {'NOUN': 'бригада'}, {'PUNCT': '?'}];0;0
7709;А теперь старостой быть скучно?;6;[{'CCONJ': 'а'}, {'ADV': 'теперь'}, {'NOUN': 'староста'}, {'AUX': 'быть'}, {'ADJ': 'скучный'}, {'PUNCT': '?'}];0;0
7710;Что это?;3;[{'PRON': 'что'}, {'PRON': 'это'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7711;Дивангард – Кто это – профессор Дивангард?;8;[{'PROPN': 'дивангард'}, {'PUNCT': '–'}, {'PRON': 'кто'}, {'PRON': 'это'}, {'PUNCT': '–'}, {'NOUN': 'профессор'}, {'PROPN': 'дивангард'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
7712;Я так понимаю, надо идти?;7;[{'PRON': 'я'}, {'ADV': 'так'}, {'VERB': 'понимать'}, {'PUNCT': ','}, {'ADV': 'надо'}, {'VERB': 'идти'}, {'PUNCT': '?'}];0;0
7713;А я-то ему зачем?;5;[{'CCONJ': 'а'}, {'VERB': 'я-то'}, {'PRON': 'он'}, {'ADV': 'зачем'}, {'PUNCT': '?'}];зачем;[{'ADV': 'зачем'}]
7714;А это, должно быть, мистер Лонгботтом?;9;[{'CCONJ': 'а'}, {'PRON': 'это'}, {'PUNCT': ','}, {'ADJ': 'должный'}, {'VERB': 'быть'}, {'PUNCT': ','}, {'NOUN': 'мистер'}, {'PROPN': 'лонгботт'}, {'PUNCT': '?'}];0;0
7715;Вы со всеми знакомы?;5;[{'PRON': 'вы'}, {'ADP': 'с'}, {'PRON': 'весь'}, {'ADJ': 'знакомый'}, {'PUNCT': '?'}];0;0
7716;А это Кормак Маклагген, возможно, вы встречались?;10;[{'CCONJ': 'а'}, {'PRON': 'это'}, {'PROPN': 'кормак'}, {'PROPN': 'маклагген'}, {'PUNCT': ','}, {'ADV': 'возможно'}, {'PUNCT': ','}, {'PRON': 'вы'}, {'VERB': 'встречаться'}, {'PUNCT': '?'}];0;0
7718;Не знаю, вы, вероятно?;7;[{'PART': 'не'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'PRON': 'вы'}, {'PUNCT': ','}, {'ADV': 'вероятно'}, {'PUNCT': '?'}];0;0
7719;Холодного фазана, Белби?;5;[{'ADJ': 'холодный'}, {'NOUN': 'фазан'}, {'PUNCT': ','}, {'PROPN': 'белбить'}, {'PUNCT': '?'}];0;0
7720;Вы с ним часто видитесь, Маркус?;8;[{'PRON': 'вы'}, {'ADP': 'с'}, {'PRON': 'он'}, {'ADV': 'часто'}, {'NOUN': 'видеться'}, {'PUNCT': ','}, {'PROPN': 'маркус'}, {'PUNCT': '?'}];0;0
7721;Ах, так ты знаком с Берти и Руфусом?;10;[{'INTJ': 'ах'}, {'PUNCT': ','}, {'ADV': 'так'}, {'PRON': 'ты'}, {'ADJ': 'знакомый'}, {'ADP': 'с'}, {'PROPN': 'берти'}, {'CCONJ': 'и'}, {'PROPN': 'руфус'}, {'PUNCT': '?'}];0;0
7722;А сейчас, – Дивангард грузно поерзал на сиденье с видом конферансье, представляющего гвоздь программы, – Гарри Поттер!С чегоначать?;24;[{'PROPN': 'а'}, {'ADV': 'сейчас'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PROPN': 'дивангард'}, {'X': 'грузно'}, {'NOUN': 'поерзать'}, {'ADP': 'на'}, {'NOUN': 'сидение'}, {'ADP': 'с'}, {'NOUN': 'вид'}, {'NOUN': 'конферансье'}, {'PUNCT': ','}, {'VERB': 'представлять'}, {'NOUN': 'гвоздь'}, {'NOUN': 'программа'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PROPN': 'гарри'}, {'PROPN': 'поттер'}, {'PUNCT': '!'}, {'ADP': 'с'}, {'NOUN': 'чегоначать'}, {'PUNCT': '?'}];0;0
7723;Значит, ты был там?;6;[{'VERB': 'значить'}, {'PUNCT': ','}, {'PRON': 'ты'}, {'AUX': 'быть'}, {'ADV': 'там'}, {'PUNCT': '?'}];0;0
7724;А все остальное?;4;[{'CCONJ': 'а'}, {'PRON': 'весь'}, {'ADJ': 'остальной'}, {'PUNCT': '?'}];0;0
7725;Вот как, тоже там были?;7;[{'PART': 'вот'}, {'ADV': 'как'}, {'PUNCT': ','}, {'ADV': 'тоже'}, {'ADV': 'там'}, {'VERB': 'быть'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
7726;Он какой-то чудной, правда?;6;[{'PRON': 'он'}, {'DET': 'какой-то'}, {'NOUN': 'чудной'}, {'PUNCT': ','}, {'ADV': 'правда'}, {'PUNCT': '?'}];0;0
7727;Джинни, а ты-то как туда угодила?;8;[{'PROPN': 'джинни'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'ADV': 'ты-то'}, {'SCONJ': 'как'}, {'ADV': 'туда'}, {'VERB': 'угодить'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
7728;Он видел, как я заколдовала Захарию Смита, – ответила Джинни, – идиота из «Хуффльпуффа», который был в Д. А. , помните?;30;[{'PRON': 'он'}, {'VERB': 'видеть'}, {'PUNCT': ','}, {'SCONJ': 'как'}, {'PRON': 'я'}, {'VERB': 'заколдовать'}, {'PROPN': 'захарий'}, {'PROPN': 'смит'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'ответить'}, {'PROPN': 'джинни'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'идиот'}, {'ADP': 'из'}, {'PUNCT': '«'}, {'PROPN': 'хуффльпуфф'}, {'PUNCT': '»'}, {'PUNCT': ','}, {'PRON': 'который'}, {'AUX': 'быть'}, {'ADP': 'в'}, {'PROPN': 'д'}, {'PUNCT': '.'}, {'PROPN': 'а'}, {'PUNCT': '.'}, {'PUNCT': ','}, {'VERB': 'помнить'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
7729;Ну не псих?;4;[{'PART': 'ну'}, {'PART': 'не'}, {'NOUN': 'псих'}, {'PUNCT': '?'}];0;0
7730;Что это ты?;4;[{'PRON': 'что'}, {'PRON': 'это'}, {'PRON': 'ты'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7731;Что за дела?;4;[{'PRON': 'что'}, {'ADP': 'за'}, {'NOUN': 'дело'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7732;Ну, Цабини, – заговорил Малфой, – что от тебя понадобилось Дивангарду?;15;[{'PART': 'ну'}, {'PUNCT': ','}, {'PROPN': 'цабиня'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'заговорить'}, {'PROPN': 'малфа'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'SCONJ': 'что'}, {'ADP': 'от'}, {'PRON': 'ты'}, {'VERB': 'понадобиться'}, {'PROPN': 'дивангард'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
7733;Кого он еще пригласил?;5;[{'PRON': 'кто'}, {'PRON': 'он'}, {'ADV': 'еще'}, {'VERB': 'пригласить'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
7734;Он пригласилЛонгботтома?;3;[{'PRON': 'он'}, {'NOUN': 'пригласиллонгботтом'}, {'PUNCT': '?'}];0;0
7735;Чем это Лонгботтом заинтересовал Дивангарда?;6;[{'PRON': 'что'}, {'PRON': 'это'}, {'PROPN': 'лонгботт'}, {'VERB': 'заинтересовать'}, {'PROPN': 'дивангарда'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7736;Но девчонка Уизли?;4;[{'CCONJ': 'но'}, {'NOUN': 'девчонка'}, {'PROPN': 'уизли'}, {'PUNCT': '?'}];0;0
7737;Вней-точто особенного?;3;[{'ADJ': 'вней-точто'}, {'ADJ': 'особенный'}, {'PUNCT': '?'}];0;0
7738;Может, это уже старческое слабоумие?;7;[{'VERB': 'мочь'}, {'PUNCT': ','}, {'PRON': 'это'}, {'ADV': 'уже'}, {'ADJ': 'старческий'}, {'NOUN': 'слабоумие'}, {'PUNCT': '?'}];0;0
7739;Кажется, раньше они были большие друзья, но когда Дивангард узнал, что Нотт-старший схвачен в министерстве, то ужасно скис, и Нотта не позвали, так?;30;[{'VERB': 'казаться'}, {'PUNCT': ','}, {'ADV': 'ранний'}, {'PRON': 'они'}, {'AUX': 'быть'}, {'ADJ': 'больший'}, {'NOUN': 'друг'}, {'PUNCT': ','}, {'CCONJ': 'но'}, {'SCONJ': 'когда'}, {'PROPN': 'дивангард'}, {'VERB': 'узнать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PROPN': 'нотт-старший'}, {'VERB': 'схватить'}, {'ADP': 'в'}, {'NOUN': 'министерство'}, {'PUNCT': ','}, {'SCONJ': 'то'}, {'ADV': 'ужасно'}, {'ADJ': 'скис'}, {'PUNCT': ','}, {'CCONJ': 'и'}, {'PROPN': 'нотт'}, {'PART': 'не'}, {'VERB': 'позвать'}, {'PUNCT': ','}, {'ADV': 'так'}, {'PUNCT': '?'}];"когда; что";[{'SCONJ': 'когда'}, {'SCONJ': 'что'}]
7740;Кого волнует, чего он хочет?;7;[{'PRON': 'кто'}, {'VERB': 'волновать'}, {'PUNCT': ','}, {'PRON': 'что'}, {'PRON': 'он'}, {'VERB': 'хотеть'}, {'PUNCT': '?'}];"кто; что";[{'PRON': 'кто'}, {'PRON': 'что'}]
7741;Если вдуматься, кто он вообще такой?;8;[{'SCONJ': 'если'}, {'VERB': 'вдуматься'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'он'}, {'ADV': 'вообще'}, {'DET': 'такой'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
7742;Как это тебя не будет?;6;[{'ADV': 'как'}, {'PRON': 'это'}, {'PRON': 'ты'}, {'PART': 'не'}, {'VERB': 'быть'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
7743;Что бы теперь сказали Рон с Гермионой?;8;[{'PRON': 'что'}, {'AUX': 'бы'}, {'ADV': 'теперь'}, {'VERB': 'сказать'}, {'PROPN': 'рон'}, {'ADP': 'с'}, {'PROPN': 'гермиона'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7744;Ты имеешь в виду…Его?;7;[{'PRON': 'ты'}, {'VERB': 'иметь'}, {'ADP': 'в'}, {'NOUN': 'вид'}, {'PUNCT': '…'}, {'PRON': 'он'}, {'PUNCT': '?'}];0;0
7745;В смысле… когда Черный Лорд придет к власти, он что, будет спрашивать про С. О. В. У. и П. А. У. К. ?;34;[{'ADP': 'в'}, {'NOUN': 'смысл'}, {'PUNCT': '…'}, {'SCONJ': 'когда'}, {'ADJ': 'черный'}, {'PROPN': 'лорд'}, {'VERB': 'прийти'}, {'ADP': 'к'}, {'NOUN': 'власть'}, {'PUNCT': ','}, {'PRON': 'он'}, {'SCONJ': 'что'}, {'PUNCT': ','}, {'AUX': 'быть'}, {'VERB': 'спрашивать'}, {'ADP': 'про'}, {'PROPN': 'с'}, {'PUNCT': '.'}, {'PROPN': 'о'}, {'PUNCT': '.'}, {'PROPN': 'в'}, {'PUNCT': '.'}, {'PROPN': 'у'}, {'PUNCT': '.'}, {'CCONJ': 'и'}, {'PROPN': 'п'}, {'PUNCT': '.'}, {'PROPN': 'а'}, {'PROPN': '.'}, {'PROPN': 'у'}, {'PUNCT': '.'}, {'PROPN': 'к'}, {'PUNCT': '.'}, {'PUNCT': '?'}];"когда; что";[{'SCONJ': 'когда'}, {'SCONJ': 'что'}]
7746;А ты, значит, способен что-то для него сделать?;11;[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'PUNCT': ','}, {'ADV': 'значит'}, {'PUNCT': ','}, {'ADJ': 'способный'}, {'PRON': 'что-то'}, {'ADP': 'для'}, {'PRON': 'он'}, {'VERB': 'сделать'}, {'PUNCT': '?'}];0;0
7747;В шестнадцать лет и без образования?;7;[{'ADP': 'в'}, {'NUM': 'шестнадцать'}, {'NOUN': 'год'}, {'CCONJ': 'и'}, {'ADP': 'без'}, {'NOUN': 'образование'}, {'PUNCT': '?'}];0;0
7748;Что это Малфой прячет от Панси?;7;[{'SCONJ': 'что'}, {'PRON': 'это'}, {'PROPN': 'малфа'}, {'VERB': 'прятать'}, {'ADP': 'от'}, {'PROPN': 'панси'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
7749;Может, тот самый загадочный предмет, который необходимо починить?;11;[{'VERB': 'мочь'}, {'PUNCT': ','}, {'DET': 'тот'}, {'ADJ': 'самый'}, {'ADJ': 'загадочный'}, {'NOUN': 'предмет'}, {'PUNCT': ','}, {'PRON': 'который'}, {'ADJ': 'необходимый'}, {'VERB': 'починить'}, {'PUNCT': '?'}];0;0
7750;Значит, это ты держал дверь?;7;[{'VERB': 'значить'}, {'PUNCT': ','}, {'PART': 'это'}, {'PRON': 'ты'}, {'VERB': 'держать'}, {'NOUN': 'дверь'}, {'PUNCT': '?'}];0;0
7751;Он, кажется, слышал, как шелестит листва на деревьях у озера и ухает вдалеке сова, но поисковой партии или даже испуганных криков: «Где же Поттер?;31;[{'PRON': 'он'}, {'PUNCT': ','}, {'VERB': 'казаться'}, {'PUNCT': ','}, {'VERB': 'слышать'}, {'PUNCT': ','}, {'SCONJ': 'как'}, {'ADJ': 'шелестеть'}, {'NOUN': 'листва'}, {'ADP': 'на'}, {'NOUN': 'дерево'}, {'ADP': 'у'}, {'NOUN': 'озеро'}, {'CCONJ': 'и'}, {'ADJ': 'ухает'}, {'NOUN': 'вдалеке'}, {'NOUN': 'сова'}, {'PUNCT': ','}, {'CCONJ': 'но'}, {'ADJ': 'поисковый'}, {'NOUN': 'партия'}, {'CCONJ': 'или'}, {'PART': 'даже'}, {'ADJ': 'испуганный'}, {'NOUN': 'крик'}, {'PUNCT': ':'}, {'PUNCT': '«'}, {'ADV': 'где'}, {'PART': 'же'}, {'PROPN': 'поттер'}, {'PUNCT': '?'}];"как; где";[{'SCONJ': 'как'}, {'ADV': 'где'}]
7752;Кто это тебя?;4;[{'PRON': 'кто'}, {'PRON': 'это'}, {'PRON': 'ты'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
7753;Это Заступник?;3;[{'PRON': 'это'}, {'PROPN': 'заступник'}, {'PUNCT': '?'}];0;0
7754;Как ты меня нашла?;5;[{'ADV': 'как'}, {'PRON': 'ты'}, {'PRON': 'я'}, {'VERB': 'найти'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
7755;Но что ты вообще тут делала?;7;[{'CCONJ': 'но'}, {'PRON': 'что'}, {'PRON': 'ты'}, {'ADV': 'вообще'}, {'ADV': 'тут'}, {'VERB': 'делать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7756;Ты одна или?;4;[{'PRON': 'ты'}, {'DET': 'один'}, {'CCONJ': 'или'}, {'PUNCT': '?'}];0;0
7758;Аврор, который в прошлом году пытался воевать с Думбльдором?;11;[{'PROPN': 'аврор'}, {'PUNCT': ','}, {'PRON': 'который'}, {'ADP': 'в'}, {'ADJ': 'прошлый'}, {'NOUN': 'год'}, {'VERB': 'пытаться'}, {'VERB': 'воевать'}, {'ADP': 'с'}, {'PROPN': 'думбльдор'}, {'PUNCT': '?'}];0;0
7759;Это из-за происшествия в министерстве?;6;[{'PRON': 'это'}, {'ADP': 'из-за'}, {'NOUN': 'происшествие'}, {'ADP': 'в'}, {'NOUN': 'министерство'}, {'PUNCT': '?'}];0;0
7760;Но ты, очевидно, посчитал, что школьная форма отвлечет внимание от твоей необыкновенной внешности?;17;[{'CCONJ': 'но'}, {'PRON': 'ты'}, {'PUNCT': ','}, {'ADV': 'очевидно'}, {'PUNCT': ','}, {'VERB': 'посчитать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'ADJ': 'школьный'}, {'NOUN': 'форма'}, {'VERB': 'отвлечь'}, {'NOUN': 'внимание'}, {'ADP': 'от'}, {'DET': 'твой'}, {'ADJ': 'необыкновенный'}, {'NOUN': 'внешность'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
7761;Ты, как всегда, рассчитывал на яркое появление?;10;[{'PRON': 'ты'}, {'PUNCT': ','}, {'SCONJ': 'как'}, {'ADV': 'всегда'}, {'PUNCT': ','}, {'VERB': 'рассчитывать'}, {'ADP': 'на'}, {'ADJ': 'яркий'}, {'NOUN': 'появление'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
7762;Мерлинова борода, что у тебя с лицом?;9;[{'ADJ': 'мерлинов'}, {'NOUN': 'борода'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'ADP': 'у'}, {'PRON': 'ты'}, {'ADP': 'с'}, {'NOUN': 'лицо'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
7763;А что?;3;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7764;Как там нос?;4;[{'ADV': 'как'}, {'ADV': 'там'}, {'NOUN': 'нос'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
7765;А что такое?;4;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'DET': 'такой'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7766;Гарри, в чем дело?;6;[{'PROPN': 'гарри'}, {'PUNCT': ','}, {'ADP': 'в'}, {'PRON': 'что'}, {'NOUN': 'дело'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7767;Шляпа выдала что-нибудь интересное?;5;[{'PROPN': 'шляпа'}, {'VERB': 'выдать'}, {'PRON': 'что-нибудь'}, {'ADJ': 'интересный'}, {'PUNCT': '?'}];0;0
7768;А Думбльдор говорил про Вольдеморта?;6;[{'PROPN': 'а'}, {'PROPN': 'думбльдор'}, {'VERB': 'говорить'}, {'ADP': 'про'}, {'PROPN': 'вольдеморт'}, {'PUNCT': '?'}];0;0
7769;Ты видел Злея?;4;[{'PRON': 'ты'}, {'VERB': 'видеть'}, {'PROPN': 'злея'}, {'PUNCT': '?'}];0;0
7771;Так что хотел профессор Дивангард?;6;[{'ADV': 'так'}, {'SCONJ': 'что'}, {'VERB': 'хотеть'}, {'NOUN': 'профессор'}, {'PROPN': 'дивангард'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
7772;В поезде нас прямо запытали вопросами, правда, Рон?;11;[{'ADP': 'в'}, {'NOUN': 'поезд'}, {'PRON': 'мы'}, {'ADV': 'прямо'}, {'ADJ': 'запытать'}, {'NOUN': 'вопрос'}, {'PUNCT': ','}, {'ADV': 'правда'}, {'PUNCT': ','}, {'PROPN': 'рон'}, {'PUNCT': '?'}];0;0
7773;Что это с ним?;5;[{'PRON': 'что'}, {'PRON': 'это'}, {'ADP': 'с'}, {'PRON': 'он'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
7777;Выходит, Злей все-такизаполучил вожделенное место?;7;[{'VERB': 'выходить'}, {'PUNCT': ','}, {'PROPN': 'злеть'}, {'VERB': 'все-такизаполучить'}, {'ADJ': 'вожделенный'}, {'NOUN': 'место'}, {'PUNCT': '?'}];0;0
7780;Долгие годы считалось, что Думбльдор недостаточно ему доверяет, и вдруг?;13;[{'ADJ': 'долгий'}, {'NOUN': 'год'}, {'VERB': 'считаться'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PROPN': 'думбльдор'}, {'ADV': 'недостаточно'}, {'PRON': 'он'}, {'VERB': 'доверять'}, {'PUNCT': ','}, {'CCONJ': 'и'}, {'ADV': 'вдруг'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
7781;В каком смысле?;4;[{'ADP': 'в'}, {'DET': 'какой'}, {'NOUN': 'смысл'}, {'PUNCT': '?'}];какой;[{'DET': 'какой'}]
7782;Вдруг этот типчик, Дивангард, не захочет оставаться надолго?;11;[{'ADV': 'вдруг'}, {'DET': 'этот'}, {'NOUN': 'типчик'}, {'PUNCT': ','}, {'PROPN': 'дивангард'}, {'PUNCT': ','}, {'PART': 'не'}, {'VERB': 'захотеть'}, {'VERB': 'оставаться'}, {'ADV': 'надолго'}, {'PUNCT': '?'}];0;0
7783;Так что с твоим носом-то случилось?;7;[{'ADV': 'так'}, {'SCONJ': 'что'}, {'ADP': 'с'}, {'DET': 'твой'}, {'NOUN': 'нос-то'}, {'VERB': 'случиться'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
